top,titulo,genero,plataforma,anio_lanzamiento
1, The Legend of Zelda: Ocarina of Time,aventura,Nintendo 64,1998
2, Half-Life 2,fps,PC,2004
3, Super Mario 64,plataforma,Nintendo 64,1996
4, Baldur's Gate II: Shadows of Amn,rpg,PC,2000
5, Final Fantasy VII,rpg,PlayStation 1,1997
6, Super Metroid,plataforma,SNES,1994
7, The Witcher 3: Wild Hunt,accion,PC,2015
8, Ultra Street Fighter IV,lucha,PC,2014
9, Grim Fandango,aventura,PC,1998
10, Divinity: Original Sin II,rpg,PC,2017
11, Grand Theft Auto V,accion,PlayStation 3,2013
12, Metal Gear Solid 3: Snake Eater,sigilo,PlayStation 2,2004
13, Mario Kart 8 Deluxe,carreras,Nintendo Switch,2017
14, The Legend of Zelda: Breath of the Wild,accion,Nintendo Switch,2017
15, Tony Hawk's Pro Skater 2,deportes,PlayStation 1,2000
16, StarCraft II,estrategia,PC,2010
17, Chrono Trigger,rpg,SNES,1995
18, Castlevania: Symphony of the Night,plataforma,PlayStation 1,1997
19, Star Wars: Knights of the Old Republic,rpg,PC,2003
20, God of War (2018),accion,PlayStation 4,2018
21, Age of Empires II: The Age of Kings,estrategia,PC,1999
22, Pokemon HeartGold / SoulSilver,rpg,Nintendo DS,2009
23, Minecraft,sandbox,PC,2011
24, Shenmue,aventura,Dreamcast,2000
25, The Last of Us,accion,PlayStation 3,2013
26, Perfect Dark,fps,Nintendo 64,2000
27, Metal Gear Solid,sigilo,PlayStation 1,1998
28, The Legend of Zelda: A Link to the Past,accion,SNES,1991
29, Red Dead Redemption 2,accion,PlayStation 4,2018
30, Super Mario Odyssey,plataforma,Nintendo Switch,2017
31, Counter-Strike,fps,PC,1999
32, Silent Hill 2,supervivencia,PlayStation 2,2001
33, World of Warcraft,rpg,PC,2004
34, Sonic Mania,plataforma,Nintendo Switch,2017
35, Gran Turismo 2,carreras,PlayStation 1,1999
36, Bloodborne,accion,PlayStation 4,2015
37, Fortnite,battle royale,PC,2017
38, Portal 2,plataforma,PC,2011
39, SoulCalibur II,lucha,GameCube,2002
40, GoldenEye 007,fps,Nintendo 64,1997
41, The Elder Scrolls V: Skyrim,rpg,PC,2011
42, Super Smash Bros,lucha,Nintendo Switch,2018
43, Donkey Kong Country: Tropical Freeze,plataforma,Wii U,2014
44, Civilization IV,estrategia,PC,2005
45, Mega Man 2,plataforma,NES,1988
46, Quake,fps,PC,1996
47, Super Mario World,plataforma,SNES,1990
48, Diablo,accion,PC,1996
49, The Sims 2,simulacion,PC,2004
50, Final Fantasy IX,rpg,PlayStation 1,2000
51, Vampire: The Masquerade - Bloodlines,accion,PC,2004
52, Fallout 3,rpg,PC,2008
53, BioShock,accion,PC,2007
54, Grand Theft Auto: San Andreas,accion,PlayStation 2,2004
55, Halo: Combat Evolved,fps,Xbox,2001
56, Tekken 5,lucha,PlayStation 2,2005
57, Fire Emblem,rpg,Game Boy Advance,2003
58, Mass Effect 2,accion,PC,2010
59, Crysis,fps,PC,2007
60, NieR:Automata,accion,PlayStation 4,2017
61, Deus Ex,accion,PC,2000
62, Monster Hunter: World,accion,PlayStation 4,2018
63, Forza Horizon 4,carreras,Xbox One,2018
64, Resident Evil 2 (Remake),supervivencia,PC,2019
65, Persona 5,rpg,PlayStation 3,2016
66, Doom (2016),fps,Xbox One,2016
67, Batman: Arkham City,accion,PlayStation 3,2011
68, Undertale,rpg,PC,2015
69, System Shock 2,fps,PC,1999
70, Cuphead,run and gun,PC,2017
71, Uncharted 2: Among Thieves,accion,PlayStation 3,2009
72, Company of Heroes,estrategia,PC,2006
73, Splinter Cell Chaos Theory,sigilo,PC,2005
74, Borderlands 2,fps,PC,2012
75, Shadow of the Colossus,aventura,PlayStation 2,2005
76, The Longest Journey,aventura,PC,1999
77, Devil May Cry 5,hack and slash,Xbox One,2019
78, Rise of the Tomb Raider,accion,Xbox One,2015
79, Journey,aventura,PlayStation 3,2012
80, Warcraft III: Reign of Chaos,estrategia,PC,2002
81, Resident Evil 4,supervivencia,GameCube,2005
82, Final Fight,beat'em up,Originalmente en sistemas Arcade,1989
83, Burnout 3: Takedown,carreras,Xbox,2004
84, Dragon Quest VIII: Journey of the Cursed King,rpg,PlayStation 2,2004
85, League of Legends,moba,PC,2009
86, Metroid Prime,accion,GameCube,2002
87, Spider-Man,accion,PlayStaton 4,2018
88, Ikaruga,shoot'em up,Dreamcast,2001
89, Call of Duty 4: Modern Warfare,fps,PC,2007
90, Star Fox 64,shooter,Nintendo 64,1997
91, Ōkami,accion,PlayStation 2,2006
92, XCOM: Enemy Unknown,estrategia,PC,2012
93, Mortal Kombat (9),lucha,PlayStation 3,2011
94, Ori and the Blind Forest,plataforma,PC,2015
95, The Curse of Monkey Island,aventura,PC,1997
96, Assassin's Creed II,sigilo,PlayStation 3,2009
97, Tales of Vesperia,rpg,Xbox 360,2008
98, Rock Band,musical,Xbox 360,2007
99, Contra III: The Alien Wars,run and gun,SNES,1992
100, Prince of Persia: The Sands of Time,plataforma,PC,2003
