top,titulo,genero,plataforma,anio_lanzamiento
1,Astral Chain,Acción,Switch,2019
2,Ori and the Will of the Wisps,Aventura,XOne,2020
3,Röki,Aventura,PC,2020
4,Animal Crossing New Horizons,Aventura,Switch,2020
5,Forza Horizon 4,Conducción,XOne,2018
6,Gears 5,Acción/Aventura,XOne,2019
7,Assassin's Creed Odyssey,Acción/Aventura,PS4,2018
8,The World Ends With You -Final Remix-,RPG,Switch,2018
9,Steins;Gate Elite,Aventura,PS4,2019
10,Judgment,Aventura,PS4,2019
11,Doom Eternal,Acción en primera persona (FPS),PS4,2020
12,Metro Exodus,Acción en primera persona (FPS),XOne,2019
13,Infernium,Aventura,PS4,2018
14,Crusader Kings III,Estrategia/Rol,PC,2020
15,Devil May Cry 5,Hack'n'slash,PS4,2019
16,Death Stranding,Aventura,PS4,2019
17,Children of Morta,Aventura,PS4,2019
18,Final Fantasy VII Remake,RPG,PS4,2020
19,Dragon Quest Builders 2,Action RPG,PS4,2019
20,Resident Evil 2 (Remake),Survival Horror,PC,2019
21,Red Dead Redemption 2,Sandbox,PS4,2018
22,Yoshi's Crafted World,Plataformas,Switch,2019
23,Koral,Aventura,PC,2019
24,Kingdom Hearts III,Action RPG,PS4,2019
25,Fire Emblem Three Houses,Estrategia/Rol,Switch,2019
26,The Outer Worlds,RPG,PS4,2019
27,Sekiro: Shadows Die Twice,Acción/Aventura,PS4,2019
28,The Last of Us: Parte II,Acción en tercera persona (TPS),PS4,2020
29,13 Sentinels: Aegis Rim,Action RPG,PS4,2020
30,Super Smash Bros. Ultimate,Lucha,Switch,2018
31,The Walking Dead: The Final Season,Aventura Narrativa (Walking Simulator),PS4,2018
32,The Legend of Zelda Link's Awakening,Action RPG,Switch,2019
33,Streets of Rage 4,Beat'em up,PS4,2020
34,Code Realize: Guardian of Rebirth,Novela visual,Switch,2020
35,Battletoads,Beat'em up,XOne,2020
36,Tetris Effect,Puzle,PS4,2018
37,Tell Me Why,Aventura,XOne,2020
38,New Super Mario Bros. U Deluxe,Plataformas,Switch,2019
39,Immortal Realms: Vampire Wars,Estrategia por turnos,PS4,2020
40,Pathfinder: Kingmaker,RPG,PC,2018
41,Farming Simulator 19,Estrategia en Tiempo Real (RTS),PS4,2018
42,Crash Team Racing Nitro-Fueled,Conducción arcade,PS4,2019
43,Super Mario Maker 2,Plataformas,Switch,2019
44,Kentucky Route Zero,Aventura Gráfica,PS4,2020
45,Blair Witch,Terror,XOne,2019
46,Wasteland 3,RPG,PS4,2020
47,Do Not Feed the Monkeys,Aventura,PC,2018
48,Mortal Kombat 11,Lucha,PS4,2019
49,FIFA 19,Fútbol,PS4,2018
50,Ace Combat 7: Skies Unknown,Simulador de vuelo,PS4,2019
51,La LEGO Película 2 El Videojuego,Aventura,PS4,2019
52,Ghost of Tsushima,Acción,PS4,2020
53,The Division 2,Acción en tercera persona (TPS),PS4,2019
54,A Plague Tale Innocence,Acción/Aventura,PS4,2019
55,Indivisible,RPG,PS4,2019
56,Tony Hawk's Pro Skater 1 + 2,Skate,PS4,2020
57,The Legend of Heroes: Trails of Cold Steel III,RPG,PS4,2019
58,Shenmue III,Aventura,PS4,2019
59,Ashen,Acción/Aventura,XOne,2018
60,Fist of the North Star: Lost Paradise,Acción,PS4,2018
61,Battle Chef Brigade,Puzle/Arcade,PS4,2017
62,NBA 2K21 ,Baloncesto,PS4,2020
63,GRIS,Plataformas/Puzle,PC,2018
64,Journey to the Savage Planet,Aventura,PS4,2020
65,Gato Roboto,Aventura,Switch,2019
66,Wreckfest,Conducción arcade,PS4,2019
67,PES 2020,Fútbol,PS4,2019
68,Luigi's Mansion 3,Aventura,Switch,2019
69,Tokyo Mirage Sessions #FE Encore,RPG,Switch,2020
70,Desperados III,Estrategia en Tiempo Real (RTS),PS4,2020
71,Microsoft Flight Simulator,Simulador de vuelo,XOne,2020
72,Hitman 2,Acción/Aventura,PS4,2018
73,The Missing,Plataformas/Puzle,PS4,2018
74,Persona Q2: New Cinema Labyrinth,RPG,3DS,2019
75,Super Mario 3D All-Stars,Plataformas,Switch,2020
76,WWE 2K19,Lucha,PS4,2018
77,Tropico 6,Estrategia en Tiempo Real (RTS),PS4,2019
78,Zanki Zero Last Beginning,Supervivencia,PS4,2019
79,Cadence of Hyrule - Crypt of the Necrodancer Fe...,Action RPG,Switch,2019
80,Remnant From the Ashes,Acción en tercera persona (TPS),PS4,2019
81,Zombie Army 4: Dead War,Acción en primera persona (FPS),PS4,2020
82,Project Warlock,Acción en primera persona (FPS),PS4,2020
83,Paper Mario: The Origami King,RPG,Switch,2020
84,Resident Evil 3 Remake,Aventura,PS4,2020
85,Legends of Runeterra,Cartas,PC,2020
86,Call of Duty Black Ops IIII,Acción en primera persona (FPS),PS4,2018
87,Onimusha: Warlords,Acción/Aventura,PS4,2019
88,Dirt Rally 2.0,Simulador de conducción,PS4,2019
89,Cuphead,Acción 2D,XOne,2017
90,Willy Jetman: Astromonkey's Revenge,Plataformas/Acción,PS4,2020
91,Hatsune Miku: Project DIVA Mega Mix,Musical,Switch,2020
92,Soul Calibur VI,Lucha,PS4,2018
93,Dead or Alive 6,Lucha,PS4,2019
94,Catherine: Full Body,"",PS4,2019
95,The Alliance Alive HD Remastered,RPG,PS4,2019
96,Panzer Paladin,Acción/Exploración 2D,Switch,2020
97,Starlink: Battle for Atlas,Acción,PS4,2018
98,Samurai Shodown,Lucha,PS4,2019
99,Darksiders Genesis,Acción/Aventura,PS4,2019
100,Katana Zero,Acción,PS4,2019
